"";"orcid_ident";"orcid_coauthor_names";"coauthor_freq"
"1";"0000-0002-0367-337X";"Hertweck, Christian";12
"2";"0000-0001-8228-7663";"Moreno-Pedraza, Abigail";8
"3";"0000-0002-4908-8934";"Martínez-Jarquín, Sandra";7
"4";"0000-0001-8041-8586";"Gamboa Becerra, Roberto";5
"5";"0000-0002-3463-957X";"García-Lara, Silverio";5
"6";"0000-0002-7471-9152";"Montero-Vargas, Josaphat Miguel";5
"7";"0000-0002-9493-6402";"Kniemeyer, Olaf";5
"8";"0000-0001-7738-7184";"Ordaz-Ortiz, Jose Juan";4
"9";"0000-0002-6738-9554";"López-Castillo, Laura Margarita";4
"10";"0000-0002-2097-0464";"De Vizcaya-Ruiz, Andrea";3
"11";"0000-0003-0973-9728";"Escamilla-Rivera, Vicente";3
"12";"0000-0001-6230-8092";"Délano-Frier, John Paul";2
"13";"0000-0001-7827-486X";"Barraza, Aarón";2
"14";"0000-0001-8037-2856";"Partida-Martinez, Laila P.";2
"15";"0000-0001-8080-5797";"Garcia-Cuellar, Claudia Maria";2
"16";"0000-0002-3600-050X";"Alvarez-Venegas, Raúl";2
"17";"0000-0002-4589-6870";"Herrera-Estrella, Alfredo";2
"18";"0000-0002-6028-0425";"Hube, Bernhard";2
"19";"0000-0002-7397-2092";"Vergara, Fredd";2
"20";"0000-0002-8982-5070";"Jimenez-Sandoval, Pedro";2
"21";"0000-0003-1689-7759";"Ramirez-Chavez, Enrique";2
"22";"0000-0003-2371-0307";"Molina Torres, Jorge";2
"23";"0000-0003-4363-7274";"de Folter, Stefan";2
"24";"0000-0001-6203-0342";"Ortiz-Martinez, Margarita";1
"25";"0000-0001-6668-217X";"Tefsen, Boris";1
"26";"0000-0001-7096-2713";"Garza-Rodríguez, Maria Lourdes";1
"27";"0000-0001-7700-039X";"Richter, Ingrid";1
"28";"0000-0001-8001-6843";"Itouga, Misao";1
"29";"0000-0001-8032-9890";"Treutler, Hendrik";1
"30";"0000-0001-8561-7170";"Pedruzzi, Ivo";1
"31";"0000-0001-9224-0455";"Rodríguez-López, Carlos";1
"32";"0000-0001-9489-2545";"Villegas-Sepulveda, Nicolas";1
"33";"0000-0001-9503-9634";"Heinekamp, Thorsten";1
"34";"0000-0001-9522-0062";"Marsch Martinez, Nayelli";1
"35";"0000-0001-9671-0784";"Guntinas-Lichius, Orlando";1
"36";"0000-0001-9702-9480";"Heim, Joel Benjamin";1
"37";"0000-0002-0309-604X";"Capella-Gutierrez, Salvador";1
"38";"0000-0002-0368-6007";"Urrea-López, Rafael";1
"39";"0000-0002-0584-2093";"Telle, Sabine";1
"40";"0000-0002-1056-4665";"Gepts, Paul";1
"41";"0000-0002-1977-0115";"Rodríguez Sixtos Higuera, Alicia";1
"42";"0000-0002-2826-2518";"Mayolo-Deloisa, Karla";1
"43";"0000-0002-2943-7754";"Valdés-Santiago, Laura";1
"44";"0000-0002-3789-1826";"Vizuet-de-Rueda, juan carlos";1
"45";"0000-0002-4187-2863";"Feuermann, Marc";1
"46";"0000-0002-4241-2674";"Vlasova, Anna";1
"47";"0000-0002-4459-9727";"Braun, Hans-Peter";1
"48";"0000-0002-4509-7964";"Abud-Archila, Miguel";1
"49";"0000-0002-5321-1763";"Rito-Palomares, Marco";1
"50";"0000-0002-5408-4022";"Herrera-Ubaldo, Humberto";1
"51";"0000-0002-6392-170X";"Azuara-Liceaga, Elisa";1
"52";"0000-0002-7472-9844";"Trevino, Victor";1
"53";"0000-0002-7727-6967";"Rosas Román, Ignacio Raúl";1
"54";"0000-0002-8062-6999";"von Eggeling, Ferdinand";1
"55";"0000-0002-8132-8651";"Brunkhorst, Frank Martin";1
"56";"0000-0002-8442-514X";"González-González, Mirna";1
"57";"0000-0002-9061-1061";"Glöckner, Gernot";1
"58";"0000-0002-9455-0796";"Krewinkel, Albert";1
"59";"0000-0002-9751-6702";"Shelest, Ekaterina";1
"60";"0000-0003-1361-5162";"Tamez-Pena, Jose";1
"61";"0000-0003-1679-3247";"Doyle, Sean";1
"62";"0000-0003-1939-9181";"Diaz Flores, Maria Fernanda";1
"63";"0000-0003-1948-3391";"Werner, Ernst R.";1
"64";"0000-0003-2469-3238";"Ayora-Talavera, Teresa del Rosario";1
"65";"0000-0003-3156-5779";"Lozano Garcia, Omar";1
"66";"0000-0003-3186-0292";"Kavanagh, Kevin";1
"67";"0000-0003-3229-1378";"White, Theodore";1
"68";"0000-0003-3888-0931";"Weiskirchen, Ralf";1
"69";"0000-0003-4163-7334";"Imhof, Diana";1
"70";"0000-0003-4193-2720";"Delaye, Luis";1
"71";"0000-0003-4322-0145";"Santos, Herbert";1
"72";"0000-0003-4494-1446";"Mejía-Giraldo, Juan Camilo";1
"73";"0000-0003-4839-3117";"Deufel, Thomas";1
